INFO 2025-04-19 22:41:35,888 autoreload 6468 7808 Watching for file changes with StatReloader
INFO 2025-04-19 22:42:47,438 basehttp 6468 3052 "OPTIONS /api/rep-dashboard/ HTTP/1.1" 200 0
INFO 2025-04-19 22:42:47,439 basehttp 6468 1992 "OPTIONS /api/prf-summary/ HTTP/1.1" 200 0
INFO 2025-04-19 22:42:47,440 basehttp 6468 7276 "OPTIONS /api/cot-summary/ HTTP/1.1" 200 0
WARNING 2025-04-19 22:42:47,455 basehttp 6468 3052 "GET /api/rep-dashboard/ HTTP/1.1" 401 183
WARNING 2025-04-19 22:42:47,456 basehttp 6468 1992 "GET /api/prf-summary/ HTTP/1.1" 401 183
WARNING 2025-04-19 22:42:47,456 basehttp 6468 7276 "GET /api/cot-summary/ HTTP/1.1" 401 183
INFO 2025-04-19 22:42:47,458 basehttp 6468 7276 "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
INFO 2025-04-19 22:42:47,460 basehttp 6468 7276 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-19 22:42:47,508 basehttp 6468 1992 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-19 22:42:47,508 basehttp 6468 3052 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-19 22:42:47,508 basehttp 6468 7276 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-19 22:45:24,236 basehttp 6468 1992 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-19 22:45:24,239 basehttp 6468 7276 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-19 22:45:24,240 basehttp 6468 3052 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-19 22:45:26,790 basehttp 6468 3052 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-04-19 22:45:26,837 basehttp 6468 3052 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-19 23:03:05,268 basehttp 6468 14004 "OPTIONS /api/chatbot/ HTTP/1.1" 200 0
WARNING 2025-04-19 23:03:05,271 basehttp 6468 14004 "POST /api/chatbot/ HTTP/1.1" 401 183
INFO 2025-04-19 23:03:05,275 basehttp 6468 14004 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-19 23:03:06,755 basehttp 6468 14004 "POST /api/chatbot/ HTTP/1.1" 200 287
INFO 2025-04-19 23:03:40,593 basehttp 6468 14004 "POST /api/chatbot/ HTTP/1.1" 200 114
INFO 2025-04-19 23:03:57,652 basehttp 6468 14004 "POST /api/chatbot/ HTTP/1.1" 200 1296
INFO 2025-04-20 03:14:23,439 basehttp 6468 10204 "OPTIONS /api/rep-dashboard/ HTTP/1.1" 200 0
INFO 2025-04-20 03:14:23,439 basehttp 6468 15004 "OPTIONS /api/prf-summary/ HTTP/1.1" 200 0
INFO 2025-04-20 03:14:23,440 basehttp 6468 10448 "OPTIONS /api/cot-summary/ HTTP/1.1" 200 0
WARNING 2025-04-20 03:14:23,443 basehttp 6468 15004 "GET /api/prf-summary/ HTTP/1.1" 401 183
WARNING 2025-04-20 03:14:23,443 basehttp 6468 10448 "GET /api/rep-dashboard/ HTTP/1.1" 401 183
WARNING 2025-04-20 03:14:23,443 basehttp 6468 10204 "GET /api/cot-summary/ HTTP/1.1" 401 183
INFO 2025-04-20 03:14:23,447 basehttp 6468 10204 "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
INFO 2025-04-20 03:14:23,449 basehttp 6468 10204 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 03:14:23,493 basehttp 6468 10204 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-20 03:14:23,497 basehttp 6468 10448 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-20 03:14:23,497 basehttp 6468 15004 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-20 03:14:32,683 basehttp 6468 15004 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-04-20 03:14:32,722 basehttp 6468 15004 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-20 03:14:35,176 basehttp 6468 10448 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-20 03:14:35,181 basehttp 6468 10204 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-20 03:14:35,183 basehttp 6468 15004 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-20 03:14:38,038 basehttp 6468 15004 "OPTIONS /api/documents/proforma-invoices/ HTTP/1.1" 200 0
INFO 2025-04-20 03:14:38,088 basehttp 6468 15004 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 5262
INFO 2025-04-20 03:16:21,089 basehttp 6468 15004 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-007A4985/ HTTP/1.1" 200 0
INFO 2025-04-20 03:16:21,133 basehttp 6468 15004 "GET /api/documents/proforma-invoices/by-number/PRF-007A4985/ HTTP/1.1" 200 795
INFO 2025-04-20 03:16:21,135 basehttp 6468 10204 "OPTIONS /api/documents/sellers/ HTTP/1.1" 200 0
INFO 2025-04-20 03:16:21,136 basehttp 6468 15004 "OPTIONS /api/documents/buyers/ HTTP/1.1" 200 0
INFO 2025-04-20 03:16:21,173 basehttp 6468 10204 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 03:16:21,173 basehttp 6468 15004 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 03:16:21,191 basehttp 6468 15004 "OPTIONS /api/accounts/customer_list/ HTTP/1.1" 200 0
INFO 2025-04-20 03:16:21,223 basehttp 6468 15004 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 03:50:27,390 basehttp 6468 4192 "OPTIONS /api/rep-dashboard/ HTTP/1.1" 200 0
INFO 2025-04-20 03:50:27,391 basehttp 6468 16192 "OPTIONS /api/prf-summary/ HTTP/1.1" 200 0
WARNING 2025-04-20 03:50:27,392 basehttp 6468 4192 "GET /api/rep-dashboard/ HTTP/1.1" 401 183
INFO 2025-04-20 03:50:27,393 basehttp 6468 13648 "OPTIONS /api/cot-summary/ HTTP/1.1" 200 0
WARNING 2025-04-20 03:50:27,393 basehttp 6468 16192 "GET /api/prf-summary/ HTTP/1.1" 401 183
WARNING 2025-04-20 03:50:27,394 basehttp 6468 16192 "GET /api/cot-summary/ HTTP/1.1" 401 183
INFO 2025-04-20 03:50:27,398 basehttp 6468 16192 "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
INFO 2025-04-20 03:50:27,399 basehttp 6468 16192 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 03:50:27,455 basehttp 6468 13648 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-20 03:50:27,455 basehttp 6468 4192 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-20 03:50:27,455 basehttp 6468 16192 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-20 03:54:53,378 basehttp 6468 16192 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-04-20 03:54:53,412 basehttp 6468 16192 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-20 04:20:58,215 basehttp 6468 5668 "OPTIONS /api/documents/proforma-invoices/ HTTP/1.1" 200 0
WARNING 2025-04-20 04:20:58,217 basehttp 6468 5668 "GET /api/documents/proforma-invoices/ HTTP/1.1" 401 183
INFO 2025-04-20 04:20:58,219 basehttp 6468 5668 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 04:20:58,254 basehttp 6468 5668 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 5262
INFO 2025-04-20 04:21:05,496 basehttp 6468 5668 "OPTIONS /api/documents/create-order/ HTTP/1.1" 200 0
INFO 2025-04-20 04:21:37,121 basehttp 6468 5668 "POST /api/documents/create-order/ HTTP/1.1" 200 2185
INFO 2025-04-20 04:22:48,634 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 965
INFO 2025-04-20 04:23:04,248 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-08860A16/ HTTP/1.1" 200 0
INFO 2025-04-20 04:23:04,286 basehttp 6468 2368 "GET /api/documents/proforma-invoices/by-number/PRF-08860A16/ HTTP/1.1" 200 845
INFO 2025-04-20 04:23:04,289 basehttp 6468 2368 "OPTIONS /api/documents/buyers/ HTTP/1.1" 200 0
INFO 2025-04-20 04:23:04,289 basehttp 6468 13324 "OPTIONS /api/documents/sellers/ HTTP/1.1" 200 0
INFO 2025-04-20 04:23:04,324 basehttp 6468 13324 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:23:08,398 basehttp 6468 2368 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:23:08,433 basehttp 6468 2368 "OPTIONS /api/accounts/customer_list/ HTTP/1.1" 200 0
INFO 2025-04-20 04:23:08,577 basehttp 6468 2368 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:24:08,751 basehttp 6468 2368 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 5262
INFO 2025-04-20 04:24:57,591 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 965
INFO 2025-04-20 04:26:34,947 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 916
INFO 2025-04-20 04:26:50,057 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 1927
INFO 2025-04-20 04:27:33,753 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 932
